@relation Dataset

@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5}

@data
10,28,34,11,-4,5,-7,-29,1
3,21,39,8,3,4,-5,-29,1
12,28,39,16,0,5,-5,-29,1
11,25,38,10,-4,7,-1,-30,1
5,29,41,15,-2,11,-1,-30,1
11,29,40,14,-3,11,9,-30,1
5,28,38,12,-5,9,-1,-30,1
5,28,37,13,7,9,-1,-29,1
5,30,38,15,-3,9,0,-30,1
6,32,38,15,-3,9,0,-30,1
4,31,38,15,-3,9,0,-30,1
5,30,39,14,-3,10,-5,-30,1
6,31,39,15,-3,9,-2,-30,1
6,27,40,15,-4,10,-1,-30,1
13,31,45,17,1,8,-6,-29,1
17,32,36,13,2,13,-3,-30,1
13,34,32,18,1,17,-6,-30,1
14,36,31,12,4,13,-5,-30,1
30,53,35,8,12,8,11,-34,2
26,50,26,7,4,5,5,-34,2
30,53,35,13,6,11,10,-33,2
15,47,33,11,4,8,2,-35,2
17,47,33,10,12,8,1,-35,2
19,34,36,9,12,6,4,-33,2
12,34,28,5,4,5,-5,-33,2
23,32,41,13,7,2,7,-31,2
20,27,37,10,8,6,-1,-31,2
25,39,35,12,12,8,-3,-31,2
23,37,36,12,7,5,0,-31,2
18,39,38,11,15,8,2,-30,2
22,45,34,12,15,6,5,-30,2
24,47,31,11,14,4,-2,-30,2
20,33,36,10,13,2,4,-30,2
15,40,31,15,13,0,8,-30,2
18,47,32,15,14,6,7,-31,2
23,46,31,4,12,4,4,-32,2
26,39,35,22,12,4,3,-32,2
26,46,29,18,9,8,9,-32,2
19,49,26,10,9,4,6,-34,2
24,55,28,15,10,9,7,-35,2
26,51,29,16,7,11,13,-35,2
28,56,28,16,7,12,3,-34,2
25,52,23,9,13,8,16,-34,2
29,50,24,10,11,10,3,-34,2
26,48,33,8,12,7,1,-34,2
25,51,25,18,13,12,9,-34,2
26,46,34,19,7,14,6,-34,2
24,36,27,15,-2,11,7,-34,2
15,32,26,17,8,13,10,-36,2
17,36,15,17,8,11,4,-36,2
23,38,34,20,8,15,-1,-36,2
12,25,24,13,7,8,11,-36,2
7,33,24,5,1,3,-13,-34,2
13,36,24,12,1,3,-4,-34,2
17,39,31,14,5,8,1,-35,2
26,48,33,17,8,9,4,-34,2
23,48,32,18,6,11,4,-35,2
26,49,35,12,6,8,3,-35,2
23,44,26,7,10,8,1,-36,2
18,39,35,10,7,5,7,-35,2
18,39,32,6,11,8,0,-33,2
19,39,35,11,9,9,0,-32,2
21,37,32,11,10,9,3,-33,2
19,36,32,8,8,2,0,-33,2
22,35,36,11,12,7,5,-32,2
25,39,31,11,14,6,1,-31,2
24,40,41,11,11,10,9,-31,2
25,44,42,15,16,9,12,-32,2
27,43,32,13,10,6,6,-32,2
25,40,34,12,5,8,6,-33,2
32,46,32,23,13,9,5,-33,2
30,49,34,22,7,9,11,-34,2
29,50,34,23,11,10,10,-35,2
25,53,32,15,8,12,10,-35,2
28,55,26,22,14,11,8,-35,2
30,58,28,22,14,8,3,-35,2
27,58,23,20,15,9,6,-35,2
22,56,26,10,15,7,10,-35,2
15,53,26,10,12,7,6,-35,2
20,48,22,16,7,3,2,-36,2
22,44,25,4,11,4,4,-34,2
22,47,26,9,7,8,-1,-34,2
23,49,26,9,7,7,7,-37,2
21,55,29,18,11,10,5,-37,2
24,56,32,14,9,9,8,-36,2
29,54,29,13,9,11,10,-36,2
24,47,27,9,5,3,0,-37,2
26,51,31,5,11,8,1,-37,2
27,48,31,6,14,12,6,-36,2
17,47,33,19,11,7,3,-37,2
22,40,30,9,11,12,4,-36,2
26,37,33,11,2,6,7,-37,2
16,37,33,14,10,9,2,-34,2
20,36,36,10,13,6,5,-34,2
22,38,36,11,14,10,6,-33,2
22,37,39,12,8,8,-1,-33,2
26,40,37,14,12,8,-4,-34,2
21,37,34,10,8,5,4,-33,2
22,42,37,12,8,5,9,-32,2
22,43,33,17,16,6,7,-31,2
29,49,36,16,10,7,5,-32,2
21,43,36,9,10,5,0,-32,2
16,41,33,7,9,8,6,-33,2
25,38,32,6,16,9,4,-33,2
28,50,31,24,16,9,9,-33,2
23,52,31,22,19,10,5,-35,2
25,48,26,22,5,9,5,-35,2
20,52,32,22,11,14,8,-35,2
20,49,32,22,13,14,1,-35,2
23,48,33,22,12,11,4,-35,2
22,49,35,23,15,13,3,-35,2
22,49,33,21,13,13,4,-35,2
21,46,25,20,11,12,4,-35,2
23,42,29,20,11,5,7,-35,2
27,52,26,9,12,13,11,-35,2
26,47,23,9,9,9,7,-35,2
23,46,30,12,8,6,3,-35,2
22,40,23,8,11,9,2,-35,2
16,39,26,19,9,13,0,-37,2
10,35,24,10,10,8,2,-36,2
18,28,27,14,14,11,3,-36,2
10,33,26,13,9,8,3,-36,2
18,38,26,9,10,10,3,-35,2
14,44,30,8,3,8,1,-33,2
18,39,32,5,7,7,5,-31,2
23,38,31,4,10,7,6,-30,2
27,41,35,6,13,11,8,-30,2
28,49,33,6,9,8,8,-31,2
24,49,38,9,13,9,4,-33,2
29,46,32,9,10,9,4,-34,2
29,51,32,9,10,7,10,-35,2
28,53,30,9,16,9,9,-37,2
27,52,32,12,11,6,2,-38,2
26,48,33,14,11,8,3,-37,2
26,39,26,14,9,5,3,-37,2
26,40,35,22,10,11,0,-36,2
15,33,32,11,7,9,4,-35,2
23,45,40,13,14,6,7,-33,2
21,36,27,6,11,8,0,-32,2
15,30,38,8,3,6,3,-31,2
26,38,34,9,10,8,7,-29,2
24,41,37,12,11,9,9,-29,2
22,34,34,11,7,6,2,-29,2
23,37,37,10,11,5,2,-29,2
23,37,41,14,8,10,3,-30,2
27,40,30,15,5,6,4,-31,2
18,47,29,11,10,4,9,-32,2
19,39,32,11,12,8,7,-38,2
27,39,33,10,8,9,7,-35,2
22,49,35,17,12,8,12,-34,2
19,39,32,13,10,6,8,-33,2
22,44,32,9,10,9,8,-33,2
21,33,32,15,13,7,4,-33,2
22,50,35,23,16,3,4,-33,2
23,46,30,20,8,13,3,-35,2
22,52,27,10,12,4,0,-36,2
21,55,20,22,5,7,8,-35,2
24,49,29,15,10,11,9,-35,2
25,47,29,12,6,8,8,-35,2
15,31,29,12,11,12,5,-36,2
15,39,29,16,7,10,9,-37,2
16,42,29,10,6,5,-5,-37,2
16,43,20,16,2,6,3,-36,2
20,49,29,20,3,8,1,-37,2
22,40,28,12,6,8,1,-37,2
21,37,37,17,10,7,4,-37,2
24,47,38,20,12,12,6,-37,2
21,39,30,15,4,8,0,-36,2
21,42,33,8,12,8,0,-36,2
20,37,29,12,8,7,2,-34,2
26,40,32,13,12,6,3,-34,2
19,39,29,15,12,8,9,-34,2
23,30,32,11,7,4,2,-33,2
18,37,33,10,11,2,1,-34,2
18,40,37,15,16,4,2,-33,2
22,42,22,10,9,6,6,-33,2
27,40,34,10,12,6,7,-33,2
21,39,33,14,9,10,3,-33,2
23,51,33,23,14,8,1,-34,2
25,47,31,22,6,9,-1,-35,2
25,54,30,10,11,10,10,-36,2
17,52,23,9,14,6,3,-37,2
26,49,27,21,9,6,8,-36,2
26,50,26,20,7,11,11,-34,2
26,51,35,20,12,13,4,-35,2
24,44,28,14,11,11,7,-35,2
24,27,23,17,5,7,1,-36,2
16,35,29,7,1,8,-7,-36,2
18,35,22,16,11,10,-6,-37,2
17,40,26,19,16,10,7,-35,2
14,40,25,10,8,8,5,-33,2
18,44,36,8,13,10,3,-32,2
25,42,30,12,8,2,12,-33,2
28,46,29,7,8,6,3,-34,2
18,44,25,5,1,3,4,-34,2
22,40,27,7,6,2,6,-34,2
32,52,40,13,11,8,15,-36,2
26,41,34,9,15,6,3,-37,2
18,44,34,11,6,9,4,-38,2
22,39,30,13,6,4,4,-34,2
24,41,32,15,15,9,2,-34,2
25,39,32,15,7,9,8,-34,2
16,41,33,14,11,7,7,-33,2
29,41,41,13,12,7,7,-33,2
28,40,40,11,14,6,12,-34,2
20,45,32,8,6,4,7,-33,2
23,41,40,18,9,9,7,-32,2
25,41,29,11,8,8,4,-32,2
20,35,30,8,11,9,4,-30,2
26,47,36,8,14,5,7,-29,2
24,46,36,13,12,7,7,-30,2
17,40,32,7,5,3,4,-32,2
27,43,34,12,16,7,7,-32,2
27,43,33,19,16,5,4,-33,2
25,52,29,18,20,8,7,-35,2
22,44,32,18,12,5,5,-37,2
26,53,27,17,4,5,5,-38,2
26,54,30,15,14,6,12,-37,2
24,55,29,24,16,7,9,-35,2
23,46,24,10,13,10,3,-35,2
24,42,25,13,4,8,4,-35,2
26,41,30,10,5,8,7,-36,2
27,48,29,11,16,11,6,-36,2
23,53,29,9,13,10,8,-37,2
25,47,28,13,6,7,6,-36,2
20,48,30,10,18,8,7,-37,2
22,50,34,13,11,10,-1,-37,2
27,54,28,13,11,7,-1,-38,2
27,51,27,20,11,11,7,-38,2
24,47,29,10,6,9,-1,-38,2
20,42,31,9,11,7,3,-36,2
23,43,37,13,7,12,6,-36,2
23,40,28,12,10,11,7,-36,2
21,39,27,9,7,6,-1,-34,2
22,42,30,7,8,9,7,-31,2
25,36,34,6,14,7,6,-30,2
22,38,29,13,8,6,1,-31,2
23,39,32,11,7,-2,2,-36,2
29,46,35,9,11,8,6,-38,2
19,44,32,13,13,3,2,-37,2
16,44,27,11,8,5,1,-35,2
19,42,37,9,21,8,0,-35,2
16,39,28,4,11,6,5,-36,2
10,41,27,11,12,12,8,-35,2
22,36,36,10,5,6,0,-34,2
26,43,36,12,8,8,2,-34,2
29,40,35,9,12,5,2,-34,2
21,45,41,9,12,6,4,-34,2
20,39,39,16,18,7,6,-32,2
