@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
29,8,0,9,11,22,1,22,-18,1
10,5,1,23,7,23,-4,22,-18,1
17,10,-4,17,6,23,8,21,-11,1
30,13,-7,9,8,22,12,20,-18,1
20,9,-4,10,-1,23,4,25,-24,1
22,8,-5,19,8,18,1,19,-24,1
32,11,5,15,4,24,5,24,-24,1
20,1,-6,14,10,11,4,23,-13,1
29,4,-6,15,2,16,12,24,-28,1
22,-5,-2,10,1,21,-15,24,-26,1
15,6,-3,18,10,25,3,23,-15,1
42,7,4,17,8,21,10,23,-26,1
24,7,-5,13,12,18,5,22,-25,1
21,3,-2,10,11,11,2,20,-14,1
15,-1,-4,3,1,9,-7,20,-25,1
18,2,-6,9,4,16,0,26,-24,1
33,6,2,19,13,29,4,21,-19,1
13,1,-9,10,4,16,-7,20,-27,1
22,14,-2,20,15,27,-3,22,-26,1
-46,-67,-78,-58,-65,-50,-62,20,-19,1
25,7,-4,15,5,20,4,22,-14,1
31,2,-7,8,5,18,4,22,-14,1
27,2,-4,15,2,19,-3,23,-20,1
23,9,5,21,13,21,1,17,-29,1
25,3,-5,17,9,23,-2,26,-31,1
24,11,0,17,8,16,-6,26,-24,1
28,6,-4,14,13,16,6,26,-27,1
23,5,-11,12,6,16,0,21,-26,1
74,10,0,18,-11,21,4,25,-17,1
32,11,4,12,10,22,12,23,-11,1
17,4,-10,3,2,9,-5,18,-24,1
17,8,-3,6,14,17,-4,20,-14,1
24,10,-7,17,2,21,4,18,-28,1
14,14,-5,11,8,21,10,23,-18,1
32,4,-1,17,13,19,4,28,-15,1
35,1,-1,20,-2,20,7,22,-27,1
27,12,3,19,16,26,6,23,-27,1
21,8,3,18,10,30,0,23,-11,1
19,14,-10,8,6,16,2,23,-15,1
8,-7,-10,5,-4,4,-8,19,-25,1
26,10,-10,10,7,15,2,23,-17,1
33,6,-3,13,13,22,12,22,-25,1
26,4,-5,10,9,18,-2,25,-27,1
28,5,-2,16,10,20,-15,20,-15,1
36,8,5,21,12,24,8,21,-19,1
19,7,-5,18,3,20,1,24,-25,1
25,4,-3,15,14,19,10,23,-15,1
26,14,8,23,17,28,11,19,-27,1
22,3,-9,12,1,24,2,25,-26,1
33,10,-6,22,5,21,11,27,-24,1
21,6,-4,13,8,23,6,24,-12,1
27,8,-7,18,9,18,8,22,-27,1
23,10,-1,20,7,28,11,23,-28,1
17,11,-3,12,13,15,8,20,-28,1
17,1,-9,3,6,10,0,25,-25,1
20,1,-7,10,6,15,-6,18,-27,1
35,6,5,23,20,24,-1,18,-12,1
28,11,3,20,5,32,7,27,-25,1
16,7,-1,5,9,14,-5,19,-27,1
46,6,1,13,16,18,9,16,-27,1
28,6,-5,16,4,18,6,22,-27,1
4,-6,-5,6,-6,1,-9,24,-24,1
35,11,6,20,14,23,10,20,-23,1
44,15,2,21,12,23,4,19,-13,1
24,9,-3,11,12,20,3,21,-23,1
29,8,2,20,11,25,6,27,-18,1
27,7,-3,17,10,21,6,22,-13,1
25,4,-1,19,14,20,4,19,-27,1
27,13,-5,25,11,23,8,21,-14,1
30,10,-1,14,14,21,14,21,-26,1
11,6,-8,16,9,13,-5,19,-27,1
16,-5,-15,6,-1,11,3,24,-24,1
33,7,-1,22,10,18,9,27,-23,1
31,7,-3,17,12,22,8,19,-27,1
10,-9,-9,10,-3,8,-6,23,-23,1
35,2,6,21,16,18,9,25,-18,1
21,13,-4,18,10,22,5,20,-26,1
29,9,3,15,14,19,17,23,-28,1
4,1,-1,6,7,8,-15,22,-25,1
23,2,-8,13,14,21,0,24,-16,1
13,-1,-8,12,5,9,-8,23,-23,1
25,15,-1,23,14,23,7,21,-26,1
31,4,5,18,8,18,13,24,-24,1
8,-2,-7,3,-6,3,-17,24,-24,1
12,-4,-6,11,0,8,3,24,-23,1
-13,5,-4,14,6,19,-8,25,-24,1
28,10,0,8,11,19,5,23,-12,1
23,6,-11,16,-3,21,-2,27,-16,1
24,0,0,15,4,20,-15,21,-13,1
37,4,-2,16,5,21,8,26,-19,1
16,4,-11,0,7,10,-12,25,-24,1
32,6,-3,7,7,14,10,25,-18,1
40,11,4,17,7,18,3,21,-17,1
33,17,-5,19,12,20,2,18,-27,1
15,0,-5,8,0,17,-1,30,-16,1
27,5,-2,13,8,21,2,25,-14,1
31,6,-3,20,10,21,11,25,-15,1
33,-1,-9,14,2,20,-2,21,-15,1
22,5,-1,14,5,15,3,23,-12,1
25,17,-2,17,13,24,11,25,-25,1
44,6,2,12,6,22,13,24,-25,1
16,-2,-4,12,7,15,0,23,-30,1
25,11,4,21,18,22,13,23,-29,1
24,11,-3,15,7,22,8,28,-18,1
21,9,-9,10,7,23,9,22,-14,1
21,9,-10,17,9,18,7,18,-23,1
25,3,0,18,5,22,3,22,-29,1
28,0,-1,21,8,21,7,25,-15,1
21,2,-4,22,0,18,8,29,-16,1
31,2,-2,12,5,20,7,25,-26,1
23,9,-9,4,9,18,0,20,-20,1
27,9,-4,14,6,21,10,27,-15,1
14,1,10,15,9,7,-12,25,-25,2
-2,-4,-8,-4,2,4,-26,26,-26,2
-1,2,-8,11,9,9,-15,25,-26,2
-12,-13,-14,-2,3,-7,-26,25,-24,2
7,-9,1,2,3,0,-22,28,-16,2
-12,2,-7,4,5,3,-26,22,-18,2
-8,-13,-10,-5,2,-5,-33,24,-19,2
7,2,-4,11,5,3,-25,27,-19,2
1,-8,-8,6,-3,0,-25,23,-13,2
2,-2,-1,-1,6,0,-15,25,-13,2
10,-6,3,18,7,6,-21,26,-19,2
-13,-2,-5,10,-2,7,-28,22,-26,2
1,-3,1,10,4,3,-20,24,-11,2
7,-2,-4,5,2,7,-9,22,-26,2
2,-6,-5,1,4,-3,-27,18,-26,2
-6,0,5,-4,5,-1,-23,26,-13,2
0,0,6,3,9,4,-12,18,-24,2
3,1,9,5,8,4,-15,26,-13,2
-2,-16,-3,5,-3,2,-19,23,-11,2
1,-4,-13,13,-5,6,-24,26,-25,2
-6,-2,3,9,13,4,-23,25,-11,2
-5,-1,9,7,7,2,-17,25,-27,2
-7,-1,6,-5,6,0,-19,26,-14,2
