zone,temp,light,presure,humidity,gravityX,gravityY,gravityZ,magX,magY,magZ,gravityMagnitude,magMagnitude,magEarthY,magEarthZ,latitude,longitude,rss0,rss1,rss2,rss3,rss4,rss5,rss6,rss7,rss8,rss9
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.402837,48.59095,21.426941,-43.611546,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.229188,48.59095,21.249146,-43.698452,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.229188,48.84861,21.37977,-43.921432,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,19.609221,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.121784,48.848606,22.126705,-43.549919,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.121784,48.848606,22.126705,-43.549919,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.121784,48.795456,21.501242,-43.802887,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.883441,48.79546,21.837641,-43.636154,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.883441,48.588341,20.829411,-43.897182,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.910688,48.588337,22.362385,-43.136417,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,21.706915,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.910688,48.540977,21.619701,-43.460495,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.910688,48.540977,21.619701,-43.460495,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.678152,48.540974,23.190063,-42.643253,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.678152,48.684654,23.036064,-42.889805,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.946096,48.684647,21.967066,-43.447018,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.946096,48.606194,21.72477,-43.480991,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,24.280186,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.063691,48.60619,22.968487,-42.837025,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.063691,48.60619,22.968487,-42.837025,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,10.063691,48.479687,23.343979,-42.489277,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.728375,48.479698,18.59535,-44.771568,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.728375,48.548664,19.169659,-44.603775,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
1,0,25.96014,0,0,-0.069175,2.639699,9.840612,16.566139,-33.209763,-29.826324,9.698584,48.548672,19.827572,-44.315235,46.953493,7.440081,-57,-64,-62,-51,-72,-76,-48,-88,-88,-86
