@relation Dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute AN0 numeric
@attribute AN1 numeric
@attribute AN2 numeric
@attribute AN3 numeric
@attribute AN4 numeric
@attribute AN5 numeric
@attribute AN6 numeric
@attribute MGY numeric
@attribute MGZ numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
-14,-17,-10,-3,5,-3,-22,23,-25,2
9,-8,-8,19,-2,24,-7,21,-19,5
8,-9,-4,12,7,20,-14,23,-17,5
9,1,-2,12,3,13,-15,22,-19,5
1,-8,-10,10,2,16,-14,21,-15,5
-2,-17,-14,7,5,13,-21,32,-20,5
13,-4,-7,14,-1,24,-6,19,-19,5
12,-5,-2,15,13,21,-11,17,-14,5
11,-3,-8,17,2,20,-9,31,-15,5
12,-5,1,19,0,32,-15,22,-15,5
11,-2,-3,7,4,21,-10,20,-20,5
5,-4,-9,17,9,26,-12,20,-10,5
13,-4,-2,21,6,30,-7,21,-10,5
13,-3,-9,7,3,21,-12,36,-15,5
17,1,-6,17,9,25,-11,22,-12,5
15,-7,-7,14,-1,27,-10,19,-19,5
18,-6,-5,23,2,30,-19,22,-16,5
-1,-14,-6,5,1,3,-20,23,-19,5
6,-12,-6,16,4,22,-11,24,-15,5
6,-7,-8,20,2,29,-15,22,-16,5
9,-2,-8,20,2,21,-24,56,-25,5
10,-7,-12,21,4,22,-23,22,-11,5
4,-7,-12,11,3,21,-15,28,-17,5
11,-1,-1,16,11,23,-11,23,-16,5
6,-5,-11,18,1,25,-11,22,-10,5
11,-2,-6,20,17,25,-15,21,-11,5
11,-8,-8,13,6,22,-22,19,-16,5
3,-12,-13,13,-1,22,-20,20,-10,5
6,-11,-5,19,-1,25,-10,22,-14,5
8,-3,-4,12,1,22,-16,24,-18,5
7,-6,-9,21,7,29,-7,26,-17,5
-5,-10,-11,8,1,17,-19,21,-19,5
-3,-4,-8,16,11,17,-22,24,-15,5
9,-6,-1,7,2,14,-9,24,-18,5
3,-5,-4,8,2,23,-22,21,-19,5
12,-5,-10,17,1,22,-16,21,-11,5
15,-1,-7,17,3,25,-9,19,-19,5
9,-3,-3,20,6,25,-5,18,-18,5
16,1,-8,12,9,20,-12,23,-12,5
12,-3,-4,20,5,29,-10,21,-10,5
6,-9,-2,12,4,26,-19,21,-19,5
-3,2,-13,-1,-4,15,-19,23,-16,5
3,-15,-14,8,-2,11,-24,25,-17,5
12,-8,-9,14,0,23,-14,19,-10,5
12,-13,-8,21,3,23,-10,22,-18,5
12,3,-6,17,-14,29,-14,19,-21,5
14,-4,-11,15,8,26,-19,23,-15,5
11,-4,-5,19,1,24,-8,21,-19,5
10,-6,-9,8,-1,16,-11,19,-14,5
64,1,-7,17,9,26,-17,22,-12,5
8,-6,1,14,6,27,-6,24,-13,5
10,-6,-10,23,4,22,-14,46,-30,5
9,-7,-20,9,60,17,-19,21,-12,5
14,2,-2,22,17,25,-4,22,-18,5
9,2,0,16,13,25,-13,19,-13,5
8,-2,-8,18,8,24,-7,22,-15,5
9,-1,-3,10,4,13,-15,22,-19,5
0,-8,-13,3,-3,11,-22,21,-10,5
12,-6,-1,21,8,26,-8,23,-16,5
11,-3,-10,22,7,23,-18,21,-11,5
10,-9,-6,13,4,24,-4,22,-18,5
10,-3,-1,21,11,29,-14,28,-17,5
-2,-5,-11,17,9,14,-15,24,-16,5
8,-6,-10,16,-19,19,-21,19,-13,5
2,-8,-16,0,-3,12,-22,24,-14,5
10,-4,-3,20,6,28,-4,21,-9,5
12,-9,-7,13,3,16,-13,27,-17,5
13,-8,-2,15,5,27,-14,23,-14,5
15,-5,0,20,7,29,-4,21,-9,5
-1,-8,-12,10,10,19,-18,19,-12,5
3,-2,-10,-2,-2,14,-26,20,-17,5
8,-11,-1,14,3,23,-12,23,-16,5
10,-4,-10,15,4,21,-15,34,-20,5
11,-6,-9,16,7,22,-19,22,-11,5
12,0,1,25,14,29,-4,20,-15,5
10,-8,-5,13,6,20,-16,20,-19,5
13,-2,-6,25,6,24,-15,46,-32,5
10,-5,-2,11,3,15,-13,24,-17,5
7,-6,-9,11,2,19,-13,19,-19,5
7,-17,-11,16,0,21,-19,23,-18,5
-13,-5,-4,11,13,15,-13,23,-12,5
-4,-22,-18,1,1,8,-30,33,-19,5
9,-5,-4,15,10,20,-8,17,-14,5
5,-8,-10,14,0,23,-11,23,-13,5
10,-6,-6,13,8,23,-20,19,-16,5
10,-5,1,14,6,23,-3,27,-16,5
-1,-2,-11,12,6,16,-13,21,-15,5
-1,-14,-8,8,-7,3,-30,21,-15,5
9,-1,-10,12,8,30,-15,19,-20,5
7,-6,-15,5,-3,18,-18,20,-10,5
8,-5,-9,17,6,22,-19,21,-12,5
4,-12,-7,16,8,21,-19,24,-13,5
5,-7,-6,14,-1,16,-14,22,-16,5
1,-12,-8,7,-7,14,-21,20,-15,5
5,-8,-14,17,7,9,-18,31,-18,5
8,-7,-7,18,-3,22,-16,21,-19,5
10,-7,-12,63,5,22,-22,22,-11,5
12,-6,-10,20,3,22,-17,22,-10,5
1,-8,-12,13,3,16,-21,22,-15,5
2,-10,-7,7,5,19,-16,22,-16,5
6,-11,-12,6,-6,22,-24,19,-19,5
10,-6,-5,14,10,20,-15,17,-13,5
3,-10,-11,13,0,16,-18,29,-16,5
10,-13,-12,21,-7,18,-12,23,-13,5
14,-2,-4,18,10,22,-12,25,-13,5
0,-11,-13,8,7,21,-18,20,-16,5
0,-9,-14,9,3,18,-17,20,-17,5
9,-6,-11,15,1,18,-19,21,-11,5
-1,-20,-15,5,4,10,-28,32,-19,5
9,-6,-9,18,1,21,-16,22,-11,5
1,-5,-8,12,1,17,-25,21,-16,5
7,-4,-3,11,5,24,-11,22,-16,5
12,-4,-5,14,8,24,-17,19,-16,5
8,-5,-4,15,2,19,-24,31,-15,5
7,-11,-4,12,9,17,-23,20,-17,5
7,-4,-7,9,-2,20,-13,24,-18,5
9,-5,-3,23,0,24,-13,34,-18,5
14,2,-9,13,10,21,-10,23,-12,5
10,-3,-9,10,7,19,-15,21,-20,5
13,0,-2,19,10,26,-5,19,-21,5
11,-2,-5,21,10,25,-14,21,-12,5
8,-2,-8,13,3,20,-23,20,-17,5
1,-11,-11,10,-1,18,-17,20,-16,5
7,4,-7,13,10,14,-10,22,-18,5
6,-8,-17,9,0,15,-19,22,-13,5
6,-7,-8,14,-1,18,-13,19,-19,5
8,-6,-5,18,4,26,-13,18,-20,5
1,-8,-15,7,1,17,-17,22,-18,5
15,-1,-10,12,7,30,-19,19,-20,5
15,0,-6,16,10,26,-12,22,-11,5
0,-5,-7,9,1,22,-10,21,-16,5
1,-7,-8,7,9,10,-16,21,-18,5
14,3,0,25,16,33,-1,22,-14,5
18,1,0,25,4,24,-11,30,-15,5
-1,-9,-17,5,-6,13,-32,21,-18,5
1,-10,-3,11,-1,21,-16,20,-19,5
13,-1,-4,26,5,24,-10,47,-33,5
5,-17,-10,2,-3,14,-23,21,-12,5
5,-5,-8,13,7,23,-12,20,-16,5
0,-4,-11,16,2,12,-28,21,-11,5
9,-11,-10,13,0,15,-17,23,-17,5
16,0,-9,14,11,21,-11,24,-12,5
-3,-2,-10,5,5,8,-23,22,-17,5
4,3,1,14,9,23,-16,21,-17,5
6,-8,-11,10,-6,18,-15,23,-16,5
17,-4,-7,18,7,21,-18,25,-13,5
7,-5,-9,20,-1,20,-13,38,-21,5
7,-7,-9,10,-2,21,-11,19,-19,5
0,-8,-9,4,-3,16,-19,34,-15,5
6,-5,-7,18,1,22,-16,22,-15,5
15,-1,-13,12,8,30,-19,19,-20,5
4,-5,-7,11,-1,19,-12,20,-17,5
11,-4,-9,-2,3,25,-13,20,-10,5
2,-10,-14,5,-3,13,-32,21,-19,5
-2,-18,-15,6,3,11,-22,32,-19,5
-3,-19,-11,12,0,8,-22,23,-13,5
10,-6,-7,17,10,20,-15,18,-18,5
11,-4,-4,20,3,24,-13,26,-17,5
13,-10,-7,22,6,26,-8,21,-18,5
14,0,-9,13,9,20,-13,24,-12,5
7,-7,-7,10,9,16,-17,20,-16,5
10,-8,2,21,9,22,-15,26,-17,5
6,-8,-9,12,5,20,-14,22,-18,5
-10,-10,-9,7,6,3,-26,21,-15,5
12,-1,-6,27,7,25,-9,46,-32,5
-3,-18,-18,6,3,12,-22,33,-19,5
12,-4,-12,14,0,24,-22,19,-10,5
-4,-9,-10,10,1,11,-30,25,-15,5
6,-12,-7,11,1,14,-21,21,-16,5
4,-5,-11,8,0,20,-12,20,-14,5
3,-9,-14,5,-5,12,-25,21,-18,5
11,-2,-10,15,6,21,-19,22,-11,5
15,0,-7,8,5,26,-10,15,-16,5
5,-3,-3,20,10,23,-8,23,-16,5
-3,-11,-12,13,5,10,-23,23,-17,5
11,-6,-12,16,1,19,-14,20,-18,5
1,-4,-13,18,5,11,-27,21,-10,5
6,-5,-8,9,9,22,-12,24,-16,5
4,-9,-11,15,3,18,-16,23,-15,5
6,-6,-6,17,4,25,-14,18,-21,5
2,-12,-6,17,3,5,-22,30,-17,5
19,0,-10,20,14,27,-11,14,-18,5
4,-6,-11,5,-1,20,-17,18,-15,5
3,-3,-8,7,2,12,-22,21,-18,5
4,-9,-13,10,3,16,-14,25,-17,5
0,-6,-4,11,5,16,-13,22,-15,5
15,-4,-9,15,-1,27,-9,23,-15,5
11,-8,-11,9,3,13,-27,23,-11,5
15,-6,-5,14,-2,26,-10,19,-19,5
6,-5,-9,5,9,22,-8,25,-16,5
1,-11,-18,3,4,17,-17,20,-16,5
9,2,-3,13,13,13,-13,23,-15,5
2,-8,-8,6,-5,10,-20,25,-15,5
13,-5,-10,22,3,25,-14,21,-18,5
7,-4,-15,9,7,18,-11,20,-16,5
9,-6,-8,7,-1,17,-16,20,-16,5
8,-2,-8,16,2,20,-16,21,-15,5
7,-4,-10,13,-1,22,-16,23,-15,5
7,-5,-9,15,-6,16,-13,37,-17,5
6,-9,-12,10,7,16,-15,25,-12,5
3,-8,-8,10,4,19,-23,17,-19,5
